username	interests
pluto	[0.650963643907361, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1531679162134967, 0.0, 0.6126716648539868, 0.0, 0.0, 0.421211769587116, 0.0, 0.0]
simone	[0.0, 0.20032077005375096, 0.0, 0.0, 0.2804490780752513, 0.8012830802150038, 0.0, 0.0, 0.2804490780752513, 0.0, 0.0, 0.0, 0.4006415401075019, 0.0]
gialluca	[0.09396819714698794, 0.32888869001445775, 0.0, 0.46984098573493965, 0.32888869001445775, 0.4228568871614457, 0.0, 0.0, 0.5638091828819276, 0.0, 0.0, 0.04698409857349397, 0.23492049286746983, 0.0]
